zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,0,1,0,3.0,155.0,3500.0
0,0,1,0,2.0,100.0,1890.0
0,1,0,0,1.0,70.0,700.0
0,0,1,0,1.0,55.0,900.0
0,1,0,0,4.0,500.0,11000.0
0,0,0,1,3.0,420.0,3300.0
0,1,0,0,2.0,120.0,4000.0
0,1,0,0,,120.0,2500.0
1,0,0,0,2.0,90.0,1700.0
1,0,0,0,3.0,350.0,3500.0
0,0,0,1,1.0,210.0,15000.0
0,0,1,0,4.0,433.0,7000.0
1,0,0,0,2.0,84.0,2800.0
0,0,0,1,4.0,320.0,7000.0
0,0,1,0,,400.0,4500.0
0,0,1,0,2.0,113.0,1799.0
1,0,0,0,3.0,340.0,7000.0
1,0,0,0,2.0,140.0,1900.0
0,1,0,0,2.0,90.0,1300.0
1,0,0,0,2.0,60.0,1600.0
0,0,0,1,2.0,120.0,1920.0
0,0,1,0,3.0,250.0,2800.0
0,1,0,0,2.0,45.0,850.0
0,0,1,0,,640.0,9500.0
0,0,1,0,1.0,50.0,1100.0
0,0,0,1,1.0,30.0,650.0
1,0,0,0,,126.0,2500.0
0,1,0,0,2.0,80.0,1000.0
0,0,1,0,,280.0,7500.0
1,0,0,0,4.0,280.0,6000.0
1,0,0,0,2.0,10.0,1100.0
0,0,1,0,2.0,87.0,1200.0
0,0,1,0,,475.0,21000.0
0,1,0,0,2.0,90.0,1800.0
0,0,0,1,4.0,280.0,9000.0
0,0,1,0,1.0,40.0,1100.0
0,1,0,0,3.0,120.0,2700.0
0,1,0,0,1.0,40.0,680.0
0,1,0,0,2.0,114.0,2000.0
0,0,1,0,1.0,60.0,700.0
0,0,0,1,,281.0,12000.0
1,0,0,0,3.0,97.0,1800.0
0,0,1,0,3.0,230.0,7000.0
1,0,0,0,3.0,147.0,2500.0
1,0,0,0,3.0,240.0,3000.0
1,0,0,0,2.0,90.0,1500.0
0,0,1,0,4.0,186.0,11000.0
0,1,0,0,2.0,70.0,1800.0
0,0,1,0,,310.0,12000.0
0,1,0,0,1.0,40.0,850.0
0,0,1,0,1.0,50.0,950.0
0,0,1,0,3.0,200.0,15000.0
0,1,0,0,2.0,50.0,1400.0
0,0,0,1,4.0,333.0,4000.0
1,0,0,0,1.0,45.0,800.0
0,0,0,1,,354.0,30000.0
0,0,0,1,5.0,370.0,12000.0
1,0,0,0,1.0,40.0,850.0
0,0,0,1,,220.0,22000.0
1,0,0,0,1.0,35.0,760.0
0,0,1,0,,400.0,11500.0
1,0,0,0,3.0,150.0,3000.0
0,1,0,0,1.0,50.0,550.0
1,0,0,0,2.0,70.0,1200.0
1,0,0,0,2.0,135.0,1600.0
0,1,0,0,1.0,400.0,450.0
0,0,1,0,11.0,200.0,4500.0
0,0,0,1,2.0,60.0,1600.0
0,0,0,1,1.0,40.0,850.0
0,1,0,0,2.0,150.0,2800.0
1,0,0,0,2.0,58.0,1500.0
0,0,1,0,4.0,297.0,15500.0
0,1,0,0,2.0,40.0,1500.0
1,0,0,0,1.0,50.0,1300.0
0,0,1,0,4.0,165.0,3500.0
0,1,0,0,2.0,250.0,2800.0
0,0,1,0,4.0,297.0,15500.0
0,0,1,0,,331.0,19000.0
0,1,0,0,1.0,38.0,750.0
