zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
1,0,0,0,4.0,180.0,4800.0
0,0,1,0,4.0,280.0,6000.0
1,0,0,0,2.0,80.0,1600.0
0,0,1,0,3.0,300.0,3700.0
0,1,0,0,8.0,350.0,8000.0
1,0,0,0,3.0,150.0,3600.0
0,1,0,0,2.0,70.0,800.0
1,0,0,0,5.0,700.0,8000.0
1,0,0,0,2.0,10.0,1200.0
0,0,1,0,,407.0,15000.0
1,0,0,0,1.0,31.0,800.0
1,0,0,0,1.0,40.0,550.0
0,0,1,0,,300.0,12000.0
1,0,0,0,2.0,70.0,980.0
0,0,1,0,,190.0,7000.0
1,0,0,0,1.0,56.0,1000.0
1,0,0,0,3.0,317.0,2500.0
0,0,1,0,3.0,180.0,5000.0
0,0,1,0,,160.0,5000.0
0,0,1,0,1.0,60.0,1200.0
1,0,0,0,4.0,80.0,3200.0
0,0,0,1,5.0,434.0,45000.0
0,0,1,0,1.0,70.0,900.0
0,0,1,0,2.0,70.0,1300.0
1,0,0,0,2.0,120.0,2100.0
0,1,0,0,2.0,50.0,1200.0
1,0,0,0,2.0,160.0,2200.0
1,0,0,0,,,1900.0
0,0,1,0,5.0,905.0,17100.0
0,0,0,1,1.0,40.0,900.0
0,1,0,0,3.0,250.0,2500.0
0,0,1,0,1.0,20.0,600.0
1,0,0,0,3.0,142.0,2300.0
1,0,0,0,,,1800.0
0,0,1,0,3.0,165.0,2500.0
1,0,0,0,2.0,80.0,1900.0
0,1,0,0,3.0,195.0,3300.0
0,1,0,0,1.0,70.0,600.0
1,0,0,0,2.0,100.0,1300.0
0,1,0,0,1.0,35.0,700.0
0,0,1,0,1.0,40.0,800.0
1,0,0,0,1.0,45.0,900.0
0,0,1,0,3.0,650.0,14000.0
1,0,0,0,3.0,260.0,3500.0
0,1,0,0,1.0,70.0,1600.0
1,0,0,0,1.0,10.0,650.0
0,1,0,0,1.0,42.0,1000.0
0,0,1,0,1.0,50.0,1300.0
1,0,0,0,2.0,70.0,1500.0
0,0,0,1,5.0,1300.0,43000.0
0,0,0,1,,300.0,12000.0
0,1,0,0,,350.0,7500.0
0,0,1,0,1.0,65.0,1300.0
0,0,1,0,3.0,350.0,11500.0
0,1,0,0,5.0,800.0,18000.0
0,0,1,0,,400.0,7000.0
1,0,0,0,4.0,250.0,6000.0
1,0,0,0,2.0,80.0,1200.0
0,1,0,0,2.0,90.0,1000.0
1,0,0,0,1.0,50.0,1000.0
0,0,1,0,3.0,608.0,12000.0
0,0,1,0,3.0,200.0,2800.0
0,0,0,1,,171.0,11000.0
0,0,1,0,3.0,180.0,9500.0
0,1,0,0,1.0,60.0,650.0
0,1,0,0,1.0,30.0,1300.0
1,0,0,0,2.0,100.0,1450.0
1,0,0,0,1.0,45.0,950.0
0,1,0,0,2.0,64.0,950.0
0,0,1,0,3.0,250.0,2800.0
0,0,1,0,,300.0,8800.0
0,1,0,0,2.0,360.0,950.0
0,1,0,0,1.0,50.0,950.0
1,0,0,0,1.0,200.0,10500.0
1,0,0,0,,370.0,16000.0
0,0,0,1,3.0,155.0,3200.0
1,0,0,0,,,1300.0
0,0,1,0,2.0,80.0,2200.0
0,0,1,0,5.0,310.0,11500.0
1,0,0,0,2.0,50.0,1100.0
0,0,1,0,3.0,107.0,1650.0
0,1,0,0,2.0,125.0,1100.0
0,0,0,1,3.0,340.0,10000.0
0,0,1,0,2.0,50.0,1400.0
0,0,1,0,,126.0,5000.0
0,1,0,0,1.0,25.0,450.0
0,1,0,0,3.0,100.0,1800.0
